participant_id,trial_number,abandoned,goal_achieved,shape_0_type,shape_0_shade,shape_0_texture,shape_1_type,shape_1_shade,shape_1_texture,shape_2_type,shape_2_shade,shape_2_texture
hnbc1nhhwyd6f1x09lp4r2yy,18,False,True,triangle,high,dots,square,high,stripes,square,medium,dots
hnbc1nhhwyd6f1x09lp4r2yy,19,False,True,triangle,high,plain,circle,high,plain,square,high,plain
hnbc1nhhwyd6f1x09lp4r2yy,20,False,True,square,medium,stripes,circle,medium,stripes,triangle,high,stripes
skhu4b10zeld12f55rct0iwx,1,False,True,square,high,stripes,square,medium,stripes,circle,medium,stripes
skhu4b10zeld12f55rct0iwx,2,False,True,triangle,medium,plain,triangle,medium,plain,triangle,medium,plain
skhu4b10zeld12f55rct0iwx,3,False,True,circle,high,plain,circle,high,plain,circle,high,plain
skhu4b10zeld12f55rct0iwx,4,False,True,square,high,plain,square,high,plain,square,high,plain
skhu4b10zeld12f55rct0iwx,5,False,True,triangle,low,plain,triangle,low,plain,triangle,low,plain
skhu4b10zeld12f55rct0iwx,6,False,True,circle,low,dots,circle,low,dots,circle,low,dots
skhu4b10zeld12f55rct0iwx,7,False,True,triangle,low,stripes,triangle,low,stripes,triangle,low,stripes
skhu4b10zeld12f55rct0iwx,8,False,True,square,low,plain,square,low,plain,square,low,plain
skhu4b10zeld12f55rct0iwx,9,False,True,square,medium,stripes,square,medium,stripes,square,medium,stripes
skhu4b10zeld12f55rct0iwx,10,False,True,circle,medium,plain,circle,medium,plain,circle,medium,plain
skhu4b10zeld12f55rct0iwx,11,False,True,triangle,high,dots,triangle,high,dots,triangle,high,dots
skhu4b10zeld12f55rct0iwx,12,False,True,circle,high,stripes,circle,high,stripes,circle,high,stripes
skhu4b10zeld12f55rct0iwx,13,False,True,square,high,plain,square,medium,dots,square,medium,dots
skhu4b10zeld12f55rct0iwx,14,False,True,square,high,dots,circle,high,dots,circle,high,dots
skhu4b10zeld12f55rct0iwx,15,False,True,square,high,dots,square,high,dots,square,high,dots
skhu4b10zeld12f55rct0iwx,16,False,True,triangle,high,stripes,circle,high,plain,circle,high,plain
skhu4b10zeld12f55rct0iwx,17,False,True,square,medium,stripes,square,high,dots,square,medium,stripes
skhu4b10zeld12f55rct0iwx,18,False,True,triangle,medium,stripes,triangle,medium,plain,triangle,medium,plain
skhu4b10zeld12f55rct0iwx,19,False,True,circle,medium,dots,square,medium,plain,square,medium,plain
skhu4b10zeld12f55rct0iwx,20,False,True,triangle,high,plain,circle,medium,dots,circle,medium,dots
5z304yl2q2hzhr2mq4fhcpa5,1,False,True,square,high,stripes,circle,high,stripes,square,low,stripes
5z304yl2q2hzhr2mq4fhcpa5,2,False,True,square,high,stripes,square,medium,dots,circle,medium,stripes
5z304yl2q2hzhr2mq4fhcpa5,3,False,True,circle,medium,dots,square,high,dots,square,medium,stripes
5z304yl2q2hzhr2mq4fhcpa5,4,False,True,square,high,dots,square,high,stripes,circle,medium,stripes
5z304yl2q2hzhr2mq4fhcpa5,5,False,True,circle,high,stripes,circle,high,plain,square,medium,stripes
