program,log_probability
"and(one(stripes),three(same))",-9.574983485564092
"and(one(low),two(same))",-9.574983485564092
"and(one(low),two(unique))",-9.574983485564092
"and(one(low),three(same))",-9.574983485564092
"and(one(low),three(unique))",-9.574983485564092
"and(one(stripes),three(unique))",-9.574983485564092
"and(one(plain),three(unique))",-9.574983485564092
"and(one(stripes),two(same))",-9.574983485564092
"and(three(unique),two(dots))",-9.574983485564092
"and(three(unique),three(square))",-9.574983485564092
"and(three(unique),three(circle))",-9.574983485564092
"and(three(unique),three(triangle))",-9.574983485564092
"and(one(dots),two(unique))",-9.574983485564092
"and(one(dots),three(same))",-9.574983485564092
"and(one(dots),three(unique))",-9.574983485564092
"and(three(unique),three(medium))",-9.574983485564092
"and(one(medium),three(unique))",-9.574983485564092
"and(three(unique),three(plain))",-9.574983485564092
"and(two(high),three(same))",-9.574983485564092
"and(two(triangle),three(unique))",-9.574983485564092
"and(three(unique),two(triangle))",-9.574983485564092
"and(two(low),two(same))",-9.574983485564092
"and(two(low),two(unique))",-9.574983485564092
"and(two(low),three(same))",-9.574983485564092
"and(two(low),three(unique))",-9.574983485564092
"and(two(high),three(unique))",-9.574983485564092
"and(two(high),two(unique))",-9.574983485564092
"and(two(triangle),two(unique))",-9.574983485564092
"and(two(high),two(same))",-9.574983485564092
"and(two(medium),three(unique))",-9.574983485564092
"and(two(medium),three(same))",-9.574983485564092
"and(two(medium),two(unique))",-9.574983485564092
"and(two(medium),two(same))",-9.574983485564092
"and(one(medium),two(same))",-9.574983485564092
"and(one(medium),two(unique))",-9.574983485564092
"and(two(triangle),three(same))",-9.574983485564092
"and(two(triangle),two(same))",-9.574983485564092
"and(three(unique),three(stripes))",-9.574983485564092
"and(two(circle),three(unique))",-9.574983485564092
"and(three(unique),three(dots))",-9.574983485564092
"and(two(square),two(unique))",-9.574983485564092
"and(two(square),three(same))",-9.574983485564092
"and(two(square),three(unique))",-9.574983485564092
"and(two(circle),two(same))",-9.574983485564092
"and(two(circle),two(unique))",-9.574983485564092
"and(two(circle),three(same))",-9.574983485564092
"and(one(high),three(unique))",-9.574983485564092
"and(two(plain),two(same))",-9.574983485564092
"and(one(high),three(same))",-9.574983485564092
"and(one(high),two(unique))",-9.574983485564092
"and(one(high),two(same))",-9.574983485564092
"and(one(medium),three(same))",-9.574983485564092
"and(two(plain),three(unique))",-9.574983485564092
"and(two(plain),three(same))",-9.574983485564092
"and(two(plain),two(unique))",-9.574983485564092
"and(three(unique),two(low))",-9.574983485564092
"and(three(unique),three(high))",-9.574983485564092
"and(three(unique),two(circle))",-9.574983485564092
"and(two(same),two(plain))",-9.574983485564092
"and(two(same),three(medium))",-9.574983485564092
"and(two(same),three(low))",-9.574983485564092
"and(two(same),three(triangle))",-9.574983485564092
"and(two(same),three(circle))",-9.574983485564092
"and(two(same),three(square))",-9.574983485564092
"and(three(unique),two(square))",-9.574983485564092
"and(two(same),two(dots))",-9.574983485564092
"and(two(same),two(stripes))",-9.574983485564092
"and(two(same),two(high))",-9.574983485564092
"and(two(unique),two(high))",-9.574983485564092
"and(two(same),two(medium))",-9.574983485564092
"and(two(same),two(low))",-9.574983485564092
"and(two(same),two(triangle))",-9.574983485564092
"and(two(same),two(circle))",-9.574983485564092
"and(two(same),two(square))",-9.574983485564092
"and(two(same),one(dots))",-9.574983485564092
"and(two(same),one(stripes))",-9.574983485564092
"and(two(same),one(plain))",-9.574983485564092
"and(two(same),three(high))",-9.574983485564092
"and(two(same),three(plain))",-9.574983485564092
"and(two(same),three(stripes))",-9.574983485564092
"and(two(same),three(dots))",-9.574983485564092
"and(two(unique),two(low))",-9.574983485564092
"and(two(unique),two(triangle))",-9.574983485564092
"and(two(unique),two(circle))",-9.574983485564092
"and(two(unique),two(square))",-9.574983485564092
"and(two(unique),one(dots))",-9.574983485564092
"and(two(unique),one(stripes))",-9.574983485564092
"and(two(unique),one(plain))",-9.574983485564092
"and(two(unique),one(high))",-9.574983485564092
"and(two(unique),one(medium))",-9.574983485564092
"and(two(unique),one(low))",-9.574983485564092
"and(two(unique),one(triangle))",-9.574983485564092
"and(two(unique),one(circle))",-9.574983485564092
"and(two(unique),one(square))",-9.574983485564092
"and(three(circle),two(same))",-9.574983485564092
"and(three(circle),two(unique))",-9.574983485564092
"and(three(circle),three(same))",-9.574983485564092
"and(three(circle),three(unique))",-9.574983485564092
"and(two(same),one(high))",-9.574983485564092
"and(two(same),one(medium))",-9.574983485564092
"and(two(same),one(low))",-9.574983485564092
"and(three(low),two(unique))",-9.574983485564092
"and(three(low),three(unique))",-9.574983485564092
"and(three(plain),three(unique))",-9.574983485564092
"and(three(plain),three(same))",-9.574983485564092
"and(three(plain),two(unique))",-9.574983485564092
"and(three(plain),two(same))",-9.574983485564092
"and(three(high),three(unique))",-9.574983485564092
"and(three(high),three(same))",-9.574983485564092
"and(three(high),two(unique))",-9.574983485564092
"and(three(high),two(same))",-9.574983485564092
"and(three(medium),two(same))",-9.574983485564092
"and(three(medium),two(unique))",-9.574983485564092
"and(three(medium),three(same))",-9.574983485564092
"and(three(medium),three(unique))",-9.574983485564092
"and(one(square),three(unique))",-9.574983485564092
"and(one(square),three(same))",-9.574983485564092
"and(one(square),two(unique))",-9.574983485564092
"and(one(square),two(same))",-9.574983485564092
"and(three(low),three(same))",-9.574983485564092
"and(three(low),two(same))",-9.574983485564092
"and(two(same),one(triangle))",-9.574983485564092
"and(three(stripes),two(same))",-9.574983485564092
"and(two(same),one(circle))",-9.574983485564092
"and(two(same),one(square))",-9.574983485564092
"and(three(dots),three(unique))",-9.574983485564092
"and(three(dots),three(same))",-9.574983485564092
"and(three(dots),two(unique))",-9.574983485564092
"and(three(dots),two(same))",-9.574983485564092
"and(three(triangle),two(same))",-9.574983485564092
"and(three(triangle),two(unique))",-9.574983485564092
"and(one(circle),three(unique))",-9.574983485564092
"and(one(circle),three(same))",-9.574983485564092
"and(one(circle),two(unique))",-9.574983485564092
"and(one(circle),two(same))",-9.574983485564092
"and(three(triangle),three(same))",-9.574983485564092
"and(three(triangle),three(unique))",-9.574983485564092
"and(three(stripes),three(unique))",-9.574983485564092
"and(three(stripes),three(same))",-9.574983485564092
"and(three(stripes),two(unique))",-9.574983485564092
"and(two(unique),two(medium))",-9.574983485564092
"and(one(stripes),two(unique))",-9.574983485564092
"and(three(same),one(plain))",-9.574983485564092
"and(one(triangle),three(unique))",-9.574983485564092
"and(three(same),two(low))",-9.574983485564092
"and(three(same),three(dots))",-9.574983485564092
"and(two(stripes),three(unique))",-9.574983485564092
"and(two(unique),three(dots))",-9.574983485564092
"and(two(unique),three(stripes))",-9.574983485564092
"and(two(unique),three(plain))",-9.574983485564092
"and(two(unique),three(high))",-9.574983485564092
"and(two(stripes),three(same))",-9.574983485564092
"and(two(stripes),two(unique))",-9.574983485564092
"and(three(same),two(triangle))",-9.574983485564092
"and(three(same),two(circle))",-9.574983485564092
"and(two(unique),three(medium))",-9.574983485564092
"and(two(unique),three(triangle))",-9.574983485564092
"and(one(triangle),three(same))",-9.574983485564092
"and(two(stripes),two(same))",-9.574983485564092
"and(three(unique),one(square))",-9.574983485564092
"and(three(unique),one(circle))",-9.574983485564092
"and(three(same),two(medium))",-9.574983485564092
"and(three(same),three(stripes))",-9.574983485564092
"and(three(same),three(plain))",-9.574983485564092
"and(three(same),three(low))",-9.574983485564092
"and(three(same),two(high))",-9.574983485564092
"and(three(same),two(plain))",-9.574983485564092
"and(three(same),two(stripes))",-9.574983485564092
"and(three(same),two(dots))",-9.574983485564092
"and(three(same),three(square))",-9.574983485564092
"and(three(same),three(circle))",-9.574983485564092
"and(three(same),three(triangle))",-9.574983485564092
"and(three(square),three(unique))",-9.574983485564092
"and(three(same),three(high))",-9.574983485564092
"and(three(square),three(same))",-9.574983485564092
"and(three(same),one(stripes))",-9.574983485564092
"and(three(square),two(unique))",-9.574983485564092
"and(three(square),two(same))",-9.574983485564092
"and(one(triangle),two(same))",-9.574983485564092
"and(one(triangle),two(unique))",-9.574983485564092
"and(three(same),three(medium))",-9.574983485564092
"and(three(unique),one(triangle))",-9.574983485564092
"and(two(unique),three(low))",-9.574983485564092
"and(three(same),one(square))",-9.574983485564092
"and(three(unique),one(low))",-9.574983485564092
"and(three(same),one(circle))",-9.574983485564092
"and(two(unique),two(plain))",-9.574983485564092
"and(two(unique),two(stripes))",-9.574983485564092
"and(two(unique),two(dots))",-9.574983485564092
"and(two(unique),three(square))",-9.574983485564092
"and(three(same),two(square))",-9.574983485564092
"and(three(same),one(dots))",-9.574983485564092
"and(two(dots),three(same))",-9.574983485564092
"and(three(unique),one(high))",-9.574983485564092
"and(two(unique),three(circle))",-9.574983485564092
"and(three(unique),one(medium))",-9.574983485564092
"and(three(unique),one(plain))",-9.574983485564092
"and(two(dots),two(unique))",-9.574983485564092
"and(two(dots),three(unique))",-9.574983485564092
"and(three(same),one(triangle))",-9.574983485564092
"and(three(same),one(low))",-9.574983485564092
"and(two(dots),two(same))",-9.574983485564092
"and(three(same),one(medium))",-9.574983485564092
"and(three(unique),one(dots))",-9.574983485564092
"and(three(unique),one(stripes))",-9.574983485564092
"and(three(same),one(high))",-9.574983485564092
"and(three(2,same),three(3,unique))",-10.268130666124039
"and(three(1,unique),two(1,same))",-10.268130666124039
"and(three(2,same),two(same,(0,1)))",-10.268130666124039
"and(three(2,same),two(3,same))",-10.268130666124039
"and(three(1,unique),two(1,unique))",-10.268130666124039
"and(three(2,same),three(3,same))",-10.268130666124039
"and(three(2,same),three(2,unique))",-10.268130666124039
"and(three(2,same),three(2,same))",-10.268130666124039
"and(three(2,same),three(1,unique))",-10.268130666124039
"and(three(2,same),three(1,same))",-10.268130666124039
"and(three(2,same),two(3,unique))",-10.268130666124039
"and(three(1,unique),two(2,same))",-10.268130666124039
"and(three(2,same),two(1,unique))",-10.268130666124039
"and(three(2,same),two(2,unique))",-10.268130666124039
"and(three(2,same),two(2,same))",-10.268130666124039
"and(three(1,unique),two(unique,(0,1)))",-10.268130666124039
"and(three(2,same),two(same,(1,2)))",-10.268130666124039
"and(three(1,unique),two(same,(1,2)))",-10.268130666124039
"and(three(1,unique),two(unique,(0,2)))",-10.268130666124039
"and(three(1,unique),two(unique,(1,2)))",-10.268130666124039
"and(three(1,unique),two(same,(0,2)))",-10.268130666124039
"and(three(1,unique),two(same,(0,1)))",-10.268130666124039
"and(three(1,unique),three(3,unique))",-10.268130666124039
"and(three(1,unique),three(3,same))",-10.268130666124039
"and(three(1,unique),three(2,unique))",-10.268130666124039
"and(three(1,unique),three(2,same))",-10.268130666124039
"and(three(1,unique),three(1,unique))",-10.268130666124039
"and(three(2,same),two(1,same))",-10.268130666124039
"and(three(1,unique),three(1,same))",-10.268130666124039
"and(three(1,unique),two(3,unique))",-10.268130666124039
"and(three(1,unique),two(3,same))",-10.268130666124039
"and(three(1,unique),two(2,unique))",-10.268130666124039
"and(three(2,same),two(same,(0,2)))",-10.268130666124039
"and(two(1,unique),two(1,unique))",-10.268130666124039
"and(three(2,same),two(unique,(0,1)))",-10.268130666124039
"and(three(3,same),three(2,unique))",-10.268130666124039
"and(three(3,same),three(3,unique))",-10.268130666124039
"and(three(3,same),two(same,(0,1)))",-10.268130666124039
"and(three(3,same),two(same,(0,2)))",-10.268130666124039
"and(three(3,same),two(same,(1,2)))",-10.268130666124039
"and(three(3,same),two(unique,(0,1)))",-10.268130666124039
"and(three(3,same),two(unique,(0,2)))",-10.268130666124039
"and(three(3,same),two(unique,(1,2)))",-10.268130666124039
"and(three(3,unique),two(1,same))",-10.268130666124039
"and(three(3,unique),two(1,unique))",-10.268130666124039
"and(three(3,unique),two(2,same))",-10.268130666124039
"and(three(3,unique),two(2,unique))",-10.268130666124039
"and(three(3,unique),two(3,same))",-10.268130666124039
"and(three(3,unique),two(3,unique))",-10.268130666124039
"and(three(3,unique),three(1,same))",-10.268130666124039
"and(three(3,unique),three(1,unique))",-10.268130666124039
"and(three(3,unique),three(2,same))",-10.268130666124039
"and(three(3,unique),three(2,unique))",-10.268130666124039
"and(three(3,unique),three(3,same))",-10.268130666124039
"and(three(3,unique),three(3,unique))",-10.268130666124039
"and(three(3,unique),two(same,(0,1)))",-10.268130666124039
"and(three(3,unique),two(same,(0,2)))",-10.268130666124039
"and(three(3,unique),two(same,(1,2)))",-10.268130666124039
"and(three(3,unique),two(unique,(0,1)))",-10.268130666124039
"and(three(3,unique),two(unique,(0,2)))",-10.268130666124039
"and(three(3,unique),two(unique,(1,2)))",-10.268130666124039
"and(three(3,same),three(3,same))",-10.268130666124039
"and(three(3,same),three(2,same))",-10.268130666124039
"and(three(2,same),two(unique,(0,2)))",-10.268130666124039
"and(three(3,same),three(1,unique))",-10.268130666124039
"and(three(2,same),two(unique,(1,2)))",-10.268130666124039
"and(three(2,unique),two(1,same))",-10.268130666124039
"and(three(2,unique),two(1,unique))",-10.268130666124039
"and(three(2,unique),two(2,same))",-10.268130666124039
"and(three(2,unique),two(2,unique))",-10.268130666124039
"and(three(2,unique),two(3,same))",-10.268130666124039
"and(three(2,unique),two(3,unique))",-10.268130666124039
"and(three(2,unique),three(1,same))",-10.268130666124039
"and(three(2,unique),three(1,unique))",-10.268130666124039
"and(three(2,unique),three(2,unique))",-10.268130666124039
"and(three(2,unique),three(3,same))",-10.268130666124039
"and(three(2,unique),three(3,unique))",-10.268130666124039
"and(three(2,unique),two(same,(0,1)))",-10.268130666124039
"and(three(2,unique),two(same,(0,2)))",-10.268130666124039
"and(three(2,unique),two(same,(1,2)))",-10.268130666124039
"and(three(2,unique),two(unique,(0,1)))",-10.268130666124039
"and(three(2,unique),two(unique,(0,2)))",-10.268130666124039
"and(three(2,unique),two(unique,(1,2)))",-10.268130666124039
"and(three(3,same),two(1,same))",-10.268130666124039
"and(three(3,same),two(1,unique))",-10.268130666124039
"and(three(3,same),two(2,same))",-10.268130666124039
